building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
house,345000,1975,torenovate,fueloil,2,Antwerp
house,328271,2022,justrenovated,gas,3,Antwerp
apartment,344000,2021,good,gas,3,Antwerp
house,699500,1984,justrenovated,gas,3,Antwerp
house,285000,1966,justrenovated,gas,3,Antwerp
apartment,395000,2021,justrenovated,gas,2,Antwerp
apartment,230000,1975,good,gas,2,Antwerp
apartment,649000,1899,torenovate,gas,5,Antwerp
house,359000,1965,justrenovated,gas,3,Antwerp
house,329000,1918,torenovate,gas,5,Antwerp
apartment,199000,2018,good,gas,1,Antwerp
apartment,349000,1996,good,gas,3,Antwerp
house,435000,1956,good,gas,3,Antwerp
apartment,149000,1955,torenovate,electric,2,Antwerp
apartment,185000,1964,torenovate,gas,2,Antwerp
house,599000,1973,good,gas,5,Antwerp
apartment,205000,1973,justrenovated,gas,2,Antwerp
house,365000,2010,good,gas,1,Antwerp
apartment,189650,1982,good,gas,2,Antwerp
house,649000,1899,torenovate,gas,5,Antwerp
apartment,195000,1958,good,gas,2,Antwerp
apartment,249000,1964,justrenovated,gas,2,Antwerp
apartment,245000,2014,justrenovated,gas,2,Antwerp
apartment,169650,1982,good,gas,2,Antwerp
house,440000,1972,torenovate,fueloil,3,Antwerp
house,525000,2005,justrenovated,gas,4,Antwerp
apartment,179000,1992,good,gas,1,Antwerp
house,309000,1934,good,gas,2,Antwerp
house,475000,1972,good,gas,4,Antwerp
house,319000,1954,torenovate,electric,2,Antwerp
house,320000,1874,torenovate,gas,2,Antwerp
apartment,175000,1978,torenovate,gas,2,Antwerp
house,329000,1949,torenovate,gas,3,Antwerp
house,675000,2011,justrenovated,gas,4,Antwerp
apartment,198000,1935,good,gas,2,Antwerp
house,535000,2022,justrenovated,gas,5,Antwerp
house,549000,1980,good,gas,5,Antwerp
apartment,40000,1989,good,gas,2,Antwerp
house,459000,2020,justrenovated,gas,3,Antwerp
apartment,249000,2018,good,gas,2,Antwerp
apartment,299000,1934,justrenovated,gas,2,Antwerp
house,599000,1931,good,fueloil,3,Antwerp
house,525000,1962,good,gas,3,Antwerp
house,630000,2008,justrenovated,gas,4,Antwerp
apartment,309500,1955,justrenovated,gas,3,Antwerp
apartment,188000,1976,torenovate,gas,3,Antwerp
apartment,299000,1982,good,gas,3,Antwerp
house,675000,1982,good,gas,4,Antwerp
apartment,335000,2014,justrenovated,gas,2,Antwerp
apartment,375000,2008,good,gas,2,Antwerp
apartment,395000,2021,justrenovated,gas,1,Antwerp
apartment,395000,1976,justrenovated,gas,2,Antwerp
house,750000,1977,good,fueloil,6,Antwerp
house,469000,2006,good,gas,3,Antwerp
apartment,490000,2020,good,gas,2,Antwerp
house,635000,2005,justrenovated,gas,4,Antwerp
house,549500,1965,good,gas,4,Antwerp
apartment,189000,1977,good,gas,2,Antwerp
apartment,265000,1979,justrenovated,gas,2,Antwerp
apartment,269000,1962,justrenovated,gas,1,Antwerp
apartment,269000,1968,justrenovated,gas,3,Antwerp
apartment,198000,1968,good,fueloil,1,Antwerp
apartment,295000,1972,justrenovated,electric,2,Antwerp
apartment,307800,2022,good,gas,3,Antwerp
apartment,279000,2015,justrenovated,gas,2,Antwerp
apartment,279000,2006,justrenovated,gas,2,Antwerp
house,728000,1976,good,gas,3,Antwerp
house,655000,1976,torenovate,fueloil,4,Antwerp
apartment,284000,1970,justrenovated,gas,2,Antwerp
apartment,289000,1970,justrenovated,gas,2,Antwerp
apartment,225000,1934,torenovate,fueloil,2,Antwerp
house,450000,1972,good,fueloil,4,Antwerp
apartment,225000,1966,justrenovated,gas,2,Antwerp
apartment,279000,1952,justrenovated,gas,2,Antwerp
house,327000,2022,good,gas,3,Antwerp
house,318000,2022,good,gas,3,Antwerp
house,295000,2022,good,gas,3,Antwerp
apartment,688000,1970,justrenovated,gas,2,Antwerp
apartment,745000,1923,justrenovated,gas,2,Antwerp
house,285000,1920,torenovate,gas,3,Antwerp
house,485000,1983,good,gas,4,Antwerp
apartment,675000,1932,justrenovated,gas,4,Antwerp
apartment,675000,1932,justrenovated,gas,4,Antwerp
apartment,179000,1975,good,gas,2,Antwerp
apartment,549000,2008,justrenovated,fueloil,4,Antwerp
apartment,390000,1988,good,gas,3,Antwerp
house,599000,1968,good,gas,3,Antwerp
house,295000,2022,good,gas,3,Antwerp
apartment,295500,2021,justrenovated,gas,2,Antwerp
apartment,225000,2006,justrenovated,gas,1,Antwerp
house,269000,1935,justrenovated,gas,3,Antwerp
house,399000,1962,good,gas,3,Antwerp
house,447000,2010,good,gas,3,Antwerp
house,289850,1955,good,gas,3,Antwerp
house,495000,1980,good,electric,5,Antwerp
house,537000,1962,justrenovated,gas,3,Antwerp
house,445000,2001,good,gas,4,Antwerp
house,375000,1927,justrenovated,gas,2,Antwerp
house,449000,1955,good,gas,3,Antwerp
house,399000,2012,justrenovated,gas,3,Antwerp
apartment,308500,2021,justrenovated,gas,2,Antwerp
house,449000,1972,good,gas,2,Antwerp
house,790000,1918,justrenovated,gas,2,Antwerp
house,155000,1850,torenovate,gas,1,Antwerp
apartment,699000,1912,justrenovated,gas,2,Antwerp
apartment,270000,1997,justrenovated,gas,2,Antwerp
house,269000,1937,torenovate,gas,1,Antwerp
house,525000,1849,torenovate,gas,2,Antwerp
apartment,395000,1954,good,gas,3,Antwerp
house,285000,1959,torenovate,fueloil,2,Antwerp
apartment,245000,2007,justrenovated,gas,2,Antwerp
apartment,245000,1972,justrenovated,gas,2,Antwerp
apartment,195000,2014,justrenovated,gas,1,Antwerp
apartment,239000,1970,justrenovated,gas,2,Antwerp
apartment,236000,1960,justrenovated,gas,3,Antwerp
apartment,229500,1983,good,gas,2,Antwerp
apartment,249000,1975,justrenovated,gas,2,Antwerp
apartment,295000,1960,justrenovated,gas,2,Antwerp
house,254000,1925,torenovate,gas,2,Antwerp
apartment,339000,2022,good,gas,3,Antwerp
apartment,395000,1954,justrenovated,gas,2,Antwerp
house,187000,1899,torenovate,gas,2,Antwerp
apartment,269000,1952,justrenovated,gas,1,Antwerp
apartment,379000,1918,justrenovated,gas,2,Antwerp
apartment,269000,1952,justrenovated,gas,1,Antwerp
apartment,372500,1923,justrenovated,gas,2,Antwerp
apartment,269000,1952,justrenovated,gas,1,Antwerp
apartment,279000,1952,justrenovated,gas,2,Antwerp
house,395000,1931,torenovate,fueloil,4,Antwerp
apartment,279000,1952,justrenovated,gas,2,Antwerp
house,225000,1935,torenovate,electric,3,Antwerp
house,398000,1994,good,gas,3,Antwerp
house,230000,1900,good,gas,2,Antwerp
apartment,229000,2022,good,gas,1,Antwerp
apartment,229500,2022,good,gas,2,Antwerp
house,175000,1998,justrenovated,gas,2,Antwerp
apartment,450000,2015,justrenovated,gas,2,Antwerp
house,484500,1963,torenovate,gas,4,Antwerp
house,380000,1959,justrenovated,gas,2,Antwerp
apartment,549000,1937,good,gas,3,Antwerp
apartment,259000,1998,good,electric,2,Antwerp
house,420000,1910,justrenovated,gas,3,Antwerp
house,498000,1966,good,fueloil,4,Antwerp
house,299000,1982,good,gas,3,Antwerp
apartment,279488,2021,good,gas,2,Antwerp
apartment,790000,1990,justrenovated,gas,3,Antwerp
apartment,285000,1994,justrenovated,gas,2,Antwerp
apartment,279000,2013,justrenovated,gas,2,Antwerp
apartment,395000,2018,good,gas,3,Antwerp
apartment,395000,2010,justrenovated,electric,2,Antwerp
house,399000,1981,good,fueloil,4,Antwerp
house,419000,1968,justrenovated,fueloil,3,Antwerp
house,399000,1980,justrenovated,gas,3,Antwerp
house,789000,2002,good,gas,3,Antwerp
house,470000,2022,justrenovated,gas,3,Antwerp
house,429000,2008,justrenovated,gas,3,Antwerp
apartment,150000,1965,good,fueloil,3,Antwerp
house,728000,1976,good,gas,3,Antwerp
house,749000,1967,good,gas,6,Antwerp
house,379000,1979,justrenovated,gas,4,Antwerp
house,429000,1953,good,gas,3,Antwerp
apartment,197000,1957,good,gas,1,Antwerp
house,549000,1986,good,electric,6,Antwerp
apartment,295000,1979,justrenovated,gas,2,Antwerp
apartment,318500,2021,justrenovated,gas,2,Antwerp
apartment,227500,1960,justrenovated,gas,2,Antwerp
apartment,205000,1960,justrenovated,gas,2,Antwerp
house,386000,1973,torenovate,fueloil,3,Antwerp
apartment,142000,1969,torenovate,gas,1,Antwerp
apartment,249000,1989,justrenovated,gas,3,Antwerp
apartment,199000,1957,good,fueloil,2,Antwerp
apartment,350000,2000,justrenovated,gas,3,Antwerp
apartment,380000,1954,justrenovated,gas,2,Antwerp
apartment,420000,2007,good,gas,2,Antwerp
apartment,460000,2017,justrenovated,gas,2,Antwerp
apartment,500000,2020,justrenovated,gas,2,Antwerp
apartment,749000,1981,good,gas,3,Antwerp
apartment,289000,2022,good,gas,2,Antwerp
apartment,474000,1975,justrenovated,gas,3,Antwerp
house,625000,1983,good,gas,3,Antwerp
apartment,317750,2021,justrenovated,gas,2,Antwerp
house,249000,1918,good,gas,3,Antwerp
apartment,249000,1972,good,gas,2,Antwerp
house,359000,1956,justrenovated,gas,5,Antwerp
house,359000,1970,good,gas,3,Antwerp
house,545000,1860,torenovate,gas,4,Antwerp
apartment,767000,2021,good,gas,3,Antwerp
house,335000,2022,good,gas,3,Antwerp
apartment,275000,2001,justrenovated,gas,2,Antwerp
house,549000,2009,justrenovated,gas,4,Antwerp
apartment,344179,2021,good,gas,2,Antwerp
apartment,340697,2021,good,gas,2,Antwerp
house,399000,1955,justrenovated,gas,2,Antwerp
apartment,215000,1976,good,gas,3,Antwerp
house,399000,1960,justrenovated,gas,3,Antwerp
house,369000,1970,justrenovated,gas,4,Antwerp
apartment,199000,2020,good,gas,1,Antwerp
house,660000,1998,justrenovated,gas,3,Antwerp
house,449000,2004,good,electric,3,Antwerp
apartment,269000,1973,justrenovated,gas,2,Antwerp
apartment,275000,1974,good,gas,3,Antwerp
house,215000,1961,good,fueloil,3,Antwerp
house,349000,1932,good,gas,4,Antwerp
house,579000,2001,justrenovated,gas,5,Antwerp
apartment,419000,1993,good,gas,3,Antwerp
house,750000,1987,good,gas,6,Antwerp
house,445000,1991,good,gas,4,Antwerp
house,555555,1991,good,gas,3,Antwerp
house,549000,1974,good,gas,3,Antwerp
apartment,237500,1978,good,gas,2,Antwerp
house,425000,1963,torenovate,gas,4,Antwerp
apartment,745000,1923,justrenovated,gas,2,Antwerp
house,384000,2002,good,fueloil,1,Antwerp
house,369000,1974,good,gas,3,Antwerp
house,198000,1875,good,gas,2,Antwerp
apartment,195000,1930,justrenovated,gas,2,Antwerp
house,430000,2007,good,gas,3,Antwerp
house,499000,1953,good,gas,4,Antwerp
house,579000,1910,justrenovated,gas,4,Antwerp
apartment,679000,1997,good,gas,3,Antwerp
apartment,299000,2022,good,gas,2,Antwerp
apartment,545000,2006,justrenovated,gas,2,Antwerp
apartment,549000,1900,torenovate,gas,2,Antwerp
house,136000,1951,torenovate,gas,3,Antwerp
house,585000,2020,justrenovated,gas,4,Antwerp
apartment,749000,1925,justrenovated,gas,2,Antwerp
apartment,330000,1957,torenovate,gas,2,Antwerp
apartment,375000,1957,justrenovated,fueloil,2,Antwerp
apartment,313000,2021,good,gas,2,Antwerp
apartment,230000,1974,good,gas,3,Antwerp
house,220000,1963,torenovate,fueloil,2,Antwerp
house,725000,1978,good,gas,4,Antwerp
apartment,295000,1970,good,gas,2,Antwerp
house,340000,1962,justrenovated,gas,3,Antwerp
house,295000,1947,torenovate,gas,3,Antwerp
house,548000,2007,good,gas,3,Antwerp
