building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
house,368500,2110,semiequipped,1954,good,fueloil,3,Antwerp
house,585000,2390,installed,1993,justrenovated,gas,4,Antwerp
house,289500,2300,semiequipped,1992,good,gas,3,Antwerp
apartment,299000,2940,hyperequipped,2013,justrenovated,gas,2,Antwerp
house,497000,2890,installed,1978,good,gas,3,Antwerp
house,330000,2500,installed,1929,justrenovated,gas,3,Antwerp
apartment,790000,2000,hyperequipped,1990,justrenovated,gas,3,Antwerp
apartment,550000,2600,semiequipped,1977,justrenovated,gas,3,Antwerp
house,598000,2820,semiequipped,1962,torenovate,gas,3,Antwerp
apartment,285000,2070,semiequipped,1994,justrenovated,gas,2,Antwerp
house,749000,2800,installed,2002,good,gas,5,Antwerp
apartment,142000,2600,semiequipped,1969,torenovate,gas,1,Antwerp
apartment,279000,2220,installed,2013,justrenovated,gas,2,Antwerp
apartment,395000,2520,hyperequipped,2018,good,gas,3,Antwerp
house,549000,2560,installed,2009,justrenovated,gas,4,Antwerp
apartment,315000,2610,semiequipped,1964,good,gas,3,Antwerp
apartment,320000,2018,hyperequipped,1960,justrenovated,electric,2,Antwerp
house,225000,2800,semiequipped,1935,torenovate,gas,2,Antwerp
house,789000,2470,installed,2002,good,gas,3,Antwerp
house,539000,2460,installed,2007,good,gas,4,Antwerp
apartment,199000,2660,semiequipped,1968,justrenovated,gas,2,Antwerp
apartment,399000,2580,installed,2014,good,gas,2,Antwerp
apartment,137000,2830,installed,2009,good,gas,1,Antwerp
apartment,395000,2830,semiequipped,2020,justrenovated,gas,3,Antwerp
house,499000,2018,installed,1876,justrenovated,gas,5,Antwerp
apartment,169000,2018,hyperequipped,1975,justrenovated,fueloil,1,Antwerp
house,569000,2547,semiequipped,1999,justrenovated,gas,4,Antwerp
house,728000,2970,hyperequipped,1976,good,gas,3,Antwerp
house,460000,2830,installed,1918,good,gas,3,Antwerp
apartment,460000,2600,semiequipped,1925,good,gas,2,Antwerp
house,259000,2830,semiequipped,1964,torenovate,gas,3,Antwerp
apartment,419000,2600,installed,1993,good,gas,3,Antwerp
apartment,415000,2018,semiequipped,1960,good,fueloil,4,Antwerp
apartment,565000,2000,hyperequipped,1924,justrenovated,gas,2,Antwerp
house,319000,2930,semiequipped,1982,good,gas,2,Antwerp
house,495000,2800,installed,2000,justrenovated,gas,3,Antwerp
apartment,649000,2018,hyperequipped,1929,good,gas,2,Antwerp
house,625000,2610,semiequipped,1930,good,gas,4,Antwerp
apartment,259000,2940,semiequipped,1997,good,gas,3,Antwerp
house,299000,2270,hyperequipped,1982,good,gas,3,Antwerp
apartment,410000,2600,semiequipped,1966,justrenovated,gas,3,Antwerp
house,239000,2300,semiequipped,1951,torenovate,gas,3,Antwerp
apartment,289000,2020,installed,1955,good,gas,2,Antwerp
apartment,287000,2050,hyperequipped,1966,justrenovated,gas,2,Antwerp
apartment,399000,2000,installed,2016,justrenovated,gas,3,Antwerp
house,395000,2812,installed,1959,torenovate,fueloil,5,Antwerp
apartment,245000,2660,installed,2007,justrenovated,gas,2,Antwerp
apartment,370000,2800,installed,1972,good,fueloil,5,Antwerp
apartment,249000,2100,hyperequipped,1975,justrenovated,gas,2,Antwerp
house,750000,2860,semiequipped,1987,good,gas,6,Antwerp
apartment,245000,2600,installed,1972,justrenovated,gas,2,Antwerp
house,549000,2500,hyperequipped,2009,good,gas,4,Antwerp
apartment,490000,2890,hyperequipped,2012,justrenovated,gas,2,Antwerp
house,269000,2880,semiequipped,1937,torenovate,gas,1,Antwerp
apartment,270000,2100,semiequipped,1997,justrenovated,gas,2,Antwerp
house,285000,2800,installed,1920,torenovate,gas,3,Antwerp
apartment,265000,2800,installed,1953,good,gas,2,Antwerp
apartment,267000,2830,installed,2009,good,gas,2,Antwerp
house,285000,2870,semiequipped,1959,torenovate,fueloil,2,Antwerp
